epoch,layer_index,layer_name,beta,tau
15,18,stage2.0.mlp.fc2_lif,0.582814,2.397012
15,19,patch_embed3.embed1.embed_lif,0.507214,2.029277
15,20,patch_embed3.orig_embed1.embed_lif,0.480135,1.923576
15,21,patch_embed3.embed2.embed_lif,0.500000,2.000000
15,22,stage3.0.attn.x_lif,0.527070,2.114476
15,23,stage3.0.attn.q_lif,0.487157,1.949915
15,24,stage3.0.attn.k_lif,0.443987,1.798520
15,25,stage3.0.attn.v_lif,0.451696,1.823807
15,26,stage3.0.attn.attn_lif,0.423124,1.733475
15,27,stage3.0.mlp.fc1_lif,0.522421,2.093896
15,28,stage3.0.mlp.fc2_lif,0.577065,2.364428
15,29,stage3.1.attn.x_lif,0.501387,2.005563
15,30,stage3.1.attn.q_lif,0.349496,1.537269
15,31,stage3.1.attn.k_lif,0.351598,1.542254
15,32,stage3.1.attn.v_lif,0.411627,1.699603
15,33,stage3.1.attn.attn_lif,0.286979,1.402483
15,34,stage3.1.mlp.fc1_lif,0.604680,2.529597
15,35,stage3.1.mlp.fc2_lif,0.655088,2.899291
15,36,head_lif,0.377353,1.606046
20,0,patch_embed1.embed1.embed_lif,0.338331,1.511331
20,1,patch_embed1.embed2.embed_lif,0.379772,1.612311
20,2,stage1.0.attn.x_lif,0.486993,1.949292
20,3,stage1.0.attn.q_lif,0.353014,1.545629
20,4,stage1.0.attn.k_lif,0.469363,1.884526
20,5,stage1.0.attn.v_lif,0.508478,2.034497
20,6,stage1.0.attn.attn_lif,0.637095,2.755545
20,7,stage1.0.mlp.fc1_lif,0.591393,2.447341
20,8,stage1.0.mlp.fc2_lif,0.512805,2.052566
20,9,patch_embed2.embed1.embed_lif,0.550983,2.227088
20,10,patch_embed2.orig_embed1.embed_lif,0.453164,1.828702
20,11,patch_embed2.embed2.embed_lif,0.500000,2.000000
20,12,stage2.0.attn.x_lif,0.508300,2.033759
20,13,stage2.0.attn.q_lif,0.415429,1.710657
20,14,stage2.0.attn.k_lif,0.428958,1.751185
20,15,stage2.0.attn.v_lif,0.450452,1.819678
20,16,stage2.0.attn.attn_lif,0.532982,2.141245
20,17,stage2.0.mlp.fc1_lif,0.623498,2.656025
20,18,stage2.0.mlp.fc2_lif,0.615518,2.600905
20,19,patch_embed3.embed1.embed_lif,0.512404,2.050877
