epoch,train_loss,eval_loss,eval_top1,eval_top5
95,2.8399967236036527,1.49396875,64.38,88.2
96,2.8192609174608725,1.408421875,66.72,89.57
97,2.827779766539453,1.3831671875,66.49,89.92
98,2.799081328889014,1.4506671875,65.27,88.57
99,2.7807630372261114,1.4800328125,66.12,88.61
100,2.7776881047308675,1.3626515625,68.1,89.96
101,2.7827697493202708,1.402775,65.8,88.33
102,2.799655945749808,1.491503125,65.01,88.32
103,2.780584126520096,1.4860671875,65.3,89.22
104,2.811815536586942,1.45530625,66.32,89.02
105,2.8021135778952195,1.4345359375,65.68,88.8
106,2.7879294950739215,1.345834375,67.24,89.87
107,2.774615475676582,1.4196046875,66.87,89.73
108,2.789549988302165,1.387328125,67.54,89.96
109,2.740569416142609,1.4666453125,65.76,88.5
110,2.798243811738018,1.35071875,67.4,89.95
111,2.7723759748566317,1.440625,65.37,88.82
112,2.797466031415209,1.3844546875,67.02,89.45
113,2.769317754557435,1.3756125,68.01,89.99
114,2.7253385625025985,1.4390453125,66.04,89.32
115,2.771084292292137,1.4008625,67.31,89.34
116,2.786322821117699,1.32504375,68.04,90.04
117,2.744401611988737,1.358103125,67.95,90.02
118,2.749668453322788,1.3420546875,68.51,90.36
119,2.790341011235412,1.34835625,68.24,89.69
120,2.7477050158797396,1.3632546875,67.87,90.19
121,2.734277138331483,1.3540203125,67.34,89.49
122,2.7273786493819134,1.3509078125,68.03,89.93
123,2.763224802615548,1.3748375,66.62,89.85
124,2.7498692118404158,1.3726453125,67.64,89.93
125,2.7367336988143824,1.3218109375,68.02,90.08
126,2.7768024581647865,1.3441796875,68.68,90.46
